[W 240807 09:43:56 smartWebSocketV2:319] Attempting to resubscribe/reconnect (Attempt 1)...
[E 240807 09:44:10 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:44:10 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 240807 09:44:10 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:44:10 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 240807 09:44:10 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:44:10 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 240807 09:46:03 smartWebSocketV2:319] Attempting to resubscribe/reconnect (Attempt 1)...
[E 240807 09:46:13 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:46:13 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 240807 09:46:13 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:46:13 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 240807 09:46:13 smartwebsocketexamplev2:53] Connection closed
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102441, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994845, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102442, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994845, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102447, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994845, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102449, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994845, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102555, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994915, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102788, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994915, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102824, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994915, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102879, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994915, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102897, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994915, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102899, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994915, 'subscription_mode_val': 'LTP'}
